State,Average Rent,Average Apartment Size
Alabama,1251.0,986.0
Alaska,1470.0,705.0
Arizona,1597.0,844.0
Arkansas,1036.0,890.0
California,2531.0,851.0
Colorado,1887.0,872.0
Connecticut,1926.0,893.0
Delaware,1602.0,913.0
District of Columbia,2401.0,746.0
Florida,1934.0,968.0
Georgia,1611.0,1016.0
Hawaii,2512.0,847.0
Idaho,1557.0,912.0
Illinois,1866.0,836.0
Indiana,1234.0,903.0
Iowa,1166.0,892.0
Kansas,1187.0,902.0
Kentucky,1218.0,930.0
Louisiana,1197.0,912.0
Maine,1851.0,843.0
Maryland,1810.0,902.0
Massachusetts,2714.0,888.0
Michigan,1280.0,915.0
Minnesota,1504.0,885.0
Mississippi,1258.0,1020.0
Missouri,1235.0,894.0
Montana,1560.0,868.0
Nebraska,1215.0,934.0
Nevada,1499.0,899.0
New Hampshire,1975.0,877.0
New Jersey,2236.0,858.0
New Mexico,1342.0,826.0
New York,2639.0,841.0
North Carolina,1526.0,959.0
North Dakota,1046.0,961.0
Ohio,1219.0,895.0
Oklahoma,989.0,856.0
Oregon,1711.0,851.0
Pennsylvania,1660.0,886.0
Rhode Island,1992.0,921.0
South Carolina,1555.0,995.0
South Dakota,1105.0,901.0
Tennessee,1470.0,947.0
Texas,1451.0,880.0
Utah,1611.0,915.0
Vermont,1936.0,813.0
Virginia,1875.0,916.0
Washington,1983.0,834.0
West Virginia,1246.0,988.0
Wisconsin,1462.0,904.0
Wyoming,1119.0,877.0
