,State,"Average annual rates for $200,000 in dwelling coverage","Average annual rates for $300,000 in dwelling coverage","Average annual rates for $400,000 in dwelling coverage","Average annual rates for $500,000 in dwelling coverage",Rate at $200k,Rate at $300k,Rate at $400k,Rate at $500k
0,Alabama,2614.0,3489.0,4123.0,4581.0,0.01307,0.01163,0.0103075,0.009162
1,Alaska,1674.0,2131.0,2525.0,2937.0,0.00837,0.007103333333333333,0.0063125,0.005874
2,Arizona,1701.0,2224.0,2747.0,3061.0,0.008505,0.007413333333333333,0.0068675,0.006122
3,Arkansas,3655.0,4201.0,4598.0,5026.0,0.018275,0.014003333333333333,0.011495,0.010052
4,California,1027.0,1380.0,1741.0,2138.0,0.005135,0.0046,0.0043525,0.004276
5,Colorado,2964.0,3661.0,4142.0,4162.0,0.01482,0.012203333333333333,0.010355,0.008324
6,Connecticut,1826.0,2378.0,2940.0,3307.0,0.00913,0.007926666666666667,0.00735,0.006614
7,Delaware,1210.0,1559.0,1944.0,2350.0,0.00605,0.005196666666666666,0.00486,0.0047
8,Florida,1786.0,2426.0,3005.0,3530.0,0.00893,0.008086666666666667,0.0075125,0.00706
9,Georgia,2297.0,3024.0,3800.0,4526.0,0.011485,0.01008,0.0095,0.009052
10,Hawaii,440.0,582.0,749.0,918.0,0.0022,0.00194,0.0018725,0.001836
11,Idaho,1841.0,2453.0,3062.0,3684.0,0.009205,0.008176666666666667,0.007655,0.007368
12,Illinois,2321.0,2752.0,3210.0,3701.0,0.011605,0.009173333333333334,0.008025,0.007402
13,Indiana,2410.0,3097.0,3631.0,3957.0,0.01205,0.010323333333333334,0.0090775,0.007914
14,Iowa,2310.0,3017.0,3482.0,4118.0,0.01155,0.010056666666666667,0.008705,0.008236
15,Kansas,4094.0,4939.0,5427.0,5996.0,0.02047,0.016463333333333333,0.0135675,0.011992
16,Kentucky,3082.0,3701.0,4049.0,4203.0,0.01541,0.012336666666666666,0.0101225,0.008406
17,Louisiana,2317.0,2905.0,3494.0,3696.0,0.011585,0.009683333333333334,0.008735,0.007392
18,Maine,1310.0,1756.0,2134.0,2387.0,0.00655,0.005853333333333334,0.005335,0.004774
19,Maryland,1289.0,1694.0,2117.0,2546.0,0.006445,0.005646666666666667,0.0052925,0.005092
20,Massachusetts,1278.0,1603.0,1952.0,2315.0,0.00639,0.005343333333333334,0.00488,0.00463
21,Michigan,2131.0,2607.0,2950.0,2975.0,0.010655,0.00869,0.007375,0.00595
22,Minnesota,2309.0,2930.0,3718.0,4475.0,0.011545,0.009766666666666667,0.009295,0.00895
23,Mississippi,3042.0,3841.0,4578.0,5040.0,0.01521,0.012803333333333333,0.011445,0.01008
24,Missouri,2765.0,3498.0,4189.0,4783.0,0.013825,0.01166,0.0104725,0.009566
25,Montana,2446.0,2717.0,3023.0,3488.0,0.01223,0.009056666666666666,0.0075575,0.006976
26,Nebraska,3800.0,4893.0,5433.0,5892.0,0.019,0.01631,0.0135825,0.011784
27,Nevada,1483.0,1794.0,2159.0,2500.0,0.007415,0.00598,0.0053975,0.005
28,New Hampshire,1152.0,1551.0,1950.0,2342.0,0.00576,0.00517,0.004875,0.004684
29,New Jersey,1174.0,1555.0,1965.0,2276.0,0.00587,0.005183333333333333,0.0049125,0.004552
30,New Mexico,2030.0,2926.0,3624.0,4071.0,0.01015,0.009753333333333333,0.00906,0.008142
31,New York,1608.0,2058.0,2586.0,2997.0,0.00804,0.00686,0.006465,0.005994
32,North Carolina,2112.0,3031.0,3524.0,3936.0,0.01056,0.010103333333333334,0.00881,0.007872
33,North Dakota,2361.0,3139.0,3883.0,4105.0,0.011805,0.010463333333333333,0.0097075,0.00821
34,Ohio,1835.0,2267.0,2760.0,3171.0,0.009175,0.007556666666666666,0.0069,0.006342
35,Oklahoma,4193.0,5317.0,6387.0,7192.0,0.020965,0.017723333333333334,0.0159675,0.014384
36,Oregon,1695.0,2198.0,2662.0,3072.0,0.008475,0.007326666666666667,0.006655,0.006144
37,Pennsylvania,1720.0,2198.0,2670.0,3039.0,0.0086,0.007326666666666667,0.006675,0.006078
38,Rhode Island,1415.0,1878.0,2339.0,2829.0,0.007075,0.00626,0.0058475,0.005658
39,South Carolina,2335.0,3042.0,3637.0,4059.0,0.011675,0.01014,0.0090925,0.008118
40,South Dakota,2980.0,3844.0,4596.0,5079.0,0.0149,0.012813333333333333,0.01149,0.010158
41,Tennessee,2455.0,3107.0,3712.0,4122.0,0.012275,0.010356666666666667,0.00928,0.008244
42,Texas,3525.0,4142.0,4529.0,4979.0,0.017625,0.013806666666666667,0.0113225,0.009958
43,Utah,1382.0,1755.0,2112.0,2473.0,0.00691,0.00585,0.00528,0.004946
44,Vermont,1214.0,1540.0,1818.0,1962.0,0.00607,0.0051333333333333335,0.004545,0.003924
45,Virginia,1903.0,2249.0,2423.0,2787.0,0.009515,0.007496666666666666,0.0060575,0.005574
46,Washington,1313.0,1659.0,2054.0,2448.0,0.006565,0.00553,0.005135,0.004896
47,District of Columbia,1114.0,1520.0,1921.0,2318.0,0.00557,0.005066666666666666,0.0048025,0.004636
48,West Virginia,1982.0,2539.0,2996.0,3511.0,0.00991,0.008463333333333333,0.00749,0.007022
49,Wisconsin,1549.0,2027.0,2478.0,2822.0,0.007745,0.006756666666666667,0.006195,0.005644
50,Wyoming,1751.0,2436.0,3176.0,3883.0,0.008755,0.00812,0.00794,0.007766
