,State,Median House Price,Annual Average Wage,Average Hourly Wage,Data Analyst Average Salary,Data Analyst Hourly Rate,Data Analyst Job Count as of 09/14/23,Data Scientist Average Salary,Data Scientist Hourly Rate,Data Scientist Job Count as of 09/14/23,Total Tax Burden,Property Tax Burden,Income Tax Burden,Sales Tax Burden,Average Rent,Average Apartment Size,Mortgage Loan Amount,Down Payment,FHA Rate as of 12/13/23,Mortgage Term,Annual Home Insurance,Monthly Mortgage Cost,PMI (@1.5%),Monthly House Payment,Monthly Gross Income,Monthly Tax Adjusted Income,Data Analyst Monthly Gross Income,Data Analyst Monthly Tax Adjusted Income,Data Scientist Monthly Gross Income,Data Scientist Monthly Tax Adjusted Income
0,Alabama,286000.0,50620.0,24.32,66024.0,31.74,680,73671.0,35.42,390,7.35,1.39,1.93,4.03,1251.0,986.0,275990.0,10010.000000000002,6.23,30,3607.1893,1695.73,25.43595,2170.8425583333333,4218.333333333333,3208.8861666666667,5502.0,4185.3714,6139.25,4670.127475
1,Alaska,384000.0,66130.0,31.79,63817.0,30.68,195,90445.0,43.48,148,5.06,3.59,0.0,1.47,1470.0,705.0,370560.0,13440.000000000002,6.23,30,2632.2111999999875,2276.78,34.151700000000005,3047.2426333333324,5510.833333333333,4298.45,5318.083333333333,4148.105,7537.083333333333,5878.925
2,Arizona,443000.0,58620.0,28.18,64892.0,31.2,1349,89489.0,43.02,831,7.62,2.35,1.23,4.04,1597.0,844.0,427495.0,15505.000000000002,6.23,30,2935.8219125,2626.6,39.398999999999994,3301.0445760416665,4885.0,3750.2145,5407.666666666667,4151.465700000001,7457.416666666667,5725.058775
3,Arkansas,259000.0,48570.0,23.35,53595.0,25.77,451,78131.0,37.56,266,8.4,1.68,2.04,4.68,1036.0,890.0,249935.0,9065.0,6.23,30,4567.5621249999995,1535.64,23.0346,2102.4747770833333,4047.5,3074.481,4466.25,3392.5635,6510.916666666667,4945.692300000001
4,California,799000.0,73220.0,35.2,80056.0,38.49,4430,120196.0,57.79,3874,8.89,2.79,3.05,3.05,2531.0,851.0,771035.0,27965.000000000004,6.23,30,3296.9456600000003,4737.37,71.06054999999999,5919.129771666667,6101.666666666667,4573.199166666667,6671.333333333333,5000.164333333333,10016.333333333334,7306.915166666668
5,Colorado,582000.0,67870.0,32.63,66648.0,32.04,1414,80168.0,38.54,877,8.28,3.05,2.04,3.19,1887.0,872.0,561630.0,20370.000000000004,6.23,30,4675.0081199999995,3450.75,51.76125,4557.7577599999995,5655.833333333333,4296.171,5554.0,4218.8184,6680.666666666667,5074.634400000001
6,Connecticut,432000.0,69310.0,33.32,79907.0,38.42,821,89010.0,42.79,678,9.83,4.24,2.92,2.67,1926.0,893.0,416880.0,15120.000000000002,6.23,30,3064.0679999999998,2561.38,38.420700000000004,3542.0197000000003,5775.833333333333,4336.495666666667,6658.916666666667,4999.514633333334,7417.5,5569.059
7,Delaware,335000.0,62260.0,29.93,65568.0,31.52,290,92901.0,44.66,241,6.12,1.88,3.15,1.09,1602.0,913.0,323275.0,11725.000000000002,6.23,30,1679.9524166666451,1986.26,29.793899999999997,2392.2249347222205,5188.333333333333,3883.4675,5464.0,4089.804,7741.75,5794.699875
8,Florida,409000.0,55980.0,26.91,60592.0,29.13,3008,75549.0,36.32,1801,6.33,2.75,0.0,3.58,1934.0,968.0,394685.0,14315.000000000002,6.23,30,3191.686033333307,2425.01,36.375150000000005,3149.140236111109,4665.0,3638.7000000000003,5049.333333333333,3938.48,6295.75,4910.685
9,Georgia,376000.0,58000.0,27.88,69630.0,33.48,2027,78393.0,37.69,1275,7.46,2.58,2.11,2.77,1611.0,1016.0,362840.0,13160.000000000002,6.23,30,3657.4272,2229.35,33.44025,2931.3558500000004,4833.333333333333,3668.0166666666664,5802.5,4403.51725,6532.75,4957.703975
10,Hawaii,713000.0,61420.0,23.35,64949.0,31.23,234,66573.0,32.01,160,12.31,2.74,2.86,6.71,2512.0,847.0,688045.0,24955.000000000004,6.23,30,1263.25062,4227.47,63.41205,5128.760435,5118.333333333333,3845.9156666666668,5412.416666666667,4066.8898833333337,5547.75,4168.57935
11,Idaho,460000.0,51350.0,24.69,51325.0,24.68,335,89669.0,43.11,249,7.64,2.35,2.15,3.14,1557.0,912.0,443900.0,16100.000000000002,6.23,30,3398.0545,2727.4,40.911,3456.8572083333333,4279.166666666667,3245.747916666667,4277.083333333333,3244.1677083333334,7472.416666666667,5667.828041666668
12,Illinois,295000.0,63930.0,30.73,73071.0,35.13,2831,82774.0,39.8,2023,9.38,3.66,2.27,3.45,1866.0,836.0,284675.0,10325.000000000002,6.23,30,3303.6533750000003,1749.09,26.236349999999998,2455.5182979166666,5327.5,4034.51575,6089.25,4611.3890249999995,6897.833333333333,5223.729183333333
